Marker / msgid;Default msgstr / Beschreibung
mo:DesktopPropertiesDialog.rb_right;rb right
mo:DesktopPropertiesDialog.rb_sqlite3;SQLite 3
mo:DesktopPropertiesDialog.scroll_area;scroll area
mo:DesktopPropertiesDialog.scroll_widget;scroll widget
mo:DesktopPropertiesDialog.source_aliases_tab;source aliases tab
mo:DesktopPropertiesDialog.sp_app_files;sp app files
mo:DesktopPropertiesDialog.sp_app_projects;sp app projects
mo:DesktopPropertiesDialog.sp_buf;sp buf
mo:DesktopPropertiesDialog.sp_dur;sp dur
mo:DesktopPropertiesDialog.sp_epoch;sp epoch
mo:DesktopPropertiesDialog.sp_freq;sp freq
mo:DesktopPropertiesDialog.sp_prog_decimals;sp prog decimals
mo:DesktopPropertiesDialog.sp_prog_margin;sp prog margin
mo:DesktopPropertiesDialog.sp_prog_max_size;sp prog max size
mo:DesktopPropertiesDialog.sp_prog_precision;sp prog precision
mo:DesktopPropertiesDialog.spin_indexblock;spin indexblock
mo:DesktopPropertiesDialog.spin_memoblock;spin memoblock
mo:DesktopPropertiesDialog.spin_refresh;spin refresh
mo:DesktopPropertiesDialog.spin_retry;spin retry
mo:DesktopPropertiesDialog.tabs;tabs
mo:DesktopPropertiesDialog.user_bde_aliases_tab;user bde aliases tab
mo:directory_tree;directory tree
mo:dism_start_content_list;dism start content list
mo:dism_start_information_tab;dism start information tab
mo:dism_start_menu;START
mo:dism_start_summary;Noch keine DISM-START-Ausgabe vorhanden
mo:dock_title_close_button;Dock-Fenster schließen
mo:dock_title_extra_button;dock title extra button
mo:dock_title_float_button;Andocken / Abdocken
mo:DockTitleBar.close_button;Dock-Fenster schließen
mo:DockTitleBar.extra_button;extra button
mo:DockTitleBar.float_button;Andocken / Abdocken
mo:DockTitleBar.title_label;title label
mo:document_tab_close_button;Registerkarte schließen
mo:document_tabs;document tabs
mo:DocumentEditor.amiga_cpu_combo;680x0-CPU-Profil für den Amiga-Assembler
mo:DocumentEditor.amiga_fpu_combo;amiga fpu combo
mo:DocumentEditor.assemble_button;Assemble
mo:DocumentEditor.assemble_generated_button;Assemble
mo:DocumentEditor.assembler_panel;assembler panel
mo:DocumentEditor.assembly_status_label;Noch nicht assembliert
mo:DocumentEditor.build_target_combo;Compiler-/Assemblerziel auswählen
mo:DocumentEditor.coff_object_button;COFF32 .o
mo:DocumentEditor.generated_amiga_cpu_combo;generated amiga cpu combo
mo:DocumentEditor.generated_amiga_fpu_combo;generated amiga fpu combo
mo:DocumentEditor.generated_assembly_editor_container;generated assembly editor container
mo:DocumentEditor.generated_assembly_page;generated assembly page
mo:DocumentEditor.generated_assembly_panel;generated assembly panel
mo:DocumentEditor.generated_assembly_status_label;ASM-Daten werden beim Kompilieren erzeugt
mo:DocumentEditor.generated_build_target_combo;Compiler-/Assemblerziel auswählen
mo:DocumentEditor.generated_prolog_verbose_checkbox;Verbose
mo:DocumentEditor.generated_windows_graphics_combo;generated windows graphics combo
mo:DocumentEditor.hex_editor;hex editor
mo:DocumentEditor.hints_editor;Hinweise werden später an dieser Stelle angezeigt.
mo:DocumentEditor.markdown_minimap;markdown minimap
mo:DocumentEditor.markdown_preview;markdown preview
mo:DocumentEditor.markdown_preview_page;markdown preview page
mo:DocumentEditor.prolog_verbose_checkbox;Verbose
mo:DocumentEditor.raw_editor_container;raw editor container
mo:DocumentEditor.source_page;source page
mo:DocumentEditor.start_assembled_button;Start
mo:DocumentEditor.start_generated_button;Start
mo:DocumentEditor.views;views
mo:DocumentEditor.windows_graphics_combo;Windows-Anwendungsart: Konsole, GUI, Direct2D oder Direct3D
mo:doxygen_documentation_dock;Doxygen Dokumentation
mo:doxygen_documentation_tool;doxygen documentation tool
mo:ErrorMessage.btn_close;btn close
mo:ErrorMessage.btn_delete_log;btn delete log
mo:ErrorMessage.text_edit;text edit
mo:ExplorerWindow.about_action;Über ...
mo:ExplorerWindow.archive_info_list;archive info list
mo:ExplorerWindow.archive_info_summary;Kein Archiv ausgewählt
mo:ExplorerWindow.archive_info_tab;archive info tab
mo:ExplorerWindow.bottom_dock;Protokoll
mo:ExplorerWindow.browse_button;Arbeitsverzeichnis auswählen
mo:ExplorerWindow.caps_status_label;CAPS
mo:ExplorerWindow.character_editor_action;255 frei editierbare C64-Zeichen im 8x8-Raster bearbeiten
mo:ExplorerWindow.chm_viewer_action;Hilfe öffnen
mo:ExplorerWindow.choose_directory_action;choose directory action
mo:ExplorerWindow.close_document_action;Registerkarte schließen
mo:ExplorerWindow.coff32_archive_action;COFF32-Archiv (.a) erstellen ...
mo:ExplorerWindow.coff64_archive_action;COFF64-Archiv (.a) erstellen …
mo:ExplorerWindow.content_list;content list
mo:ExplorerWindow.cursor_status_label;Zeile: –  Spalte: –
mo:ExplorerWindow.cursor_status_panel;cursor status panel
mo:ExplorerWindow.d64_summary;Keine Datei ausgewählt
mo:ExplorerWindow.directory_tree;directory tree
mo:ExplorerWindow.dism_analyze_action;Analyze Program
mo:ExplorerWindow.dism_bam_action;BAM
mo:ExplorerWindow.dism_content_list;dism content list
mo:ExplorerWindow.dism_disassemble_action;Disassemble
mo:ExplorerWindow.dism_extract_action;Extract Programs
mo:ExplorerWindow.dism_info_tab;dism info tab
mo:ExplorerWindow.dism_program_action;Programm
mo:ExplorerWindow.dism_ram_image_action;RAM Image
mo:ExplorerWindow.dism_start_action;Disketten Image
mo:ExplorerWindow.dism_start_menu;START
mo:ExplorerWindow.dism_startup_action;Start-Up
mo:ExplorerWindow.dism_summary;Noch keine DISM-START-Ausgabe vorhanden
mo:ExplorerWindow.dism_verbose_action;Verbose
mo:ExplorerWindow.dism_vice_action;VICE
mo:ExplorerWindow.document_tabs;document tabs
mo:ExplorerWindow.doxygen_action;Doxygen Dokumentation ...
mo:ExplorerWindow.file_info_tab;file info tab
mo:ExplorerWindow.file_list;file list
mo:ExplorerWindow.file_size_status_label;Dateigröße: –
mo:ExplorerWindow.file_status_panel;file status panel
mo:ExplorerWindow.information_panel_tab;information panel tab
mo:ExplorerWindow.insert_status_label;INS
mo:ExplorerWindow.keyboard_status_panel;keyboard status panel
mo:ExplorerWindow.left_dock;Dateisystem und Dateien
mo:ExplorerWindow.localize_action;Localize PO->Mo ...
mo:ExplorerWindow.log_edit;log edit
mo:ExplorerWindow.main_menu_bar;main menu bar
mo:ExplorerWindow.main_title_bar;main title bar
mo:ExplorerWindow.main_top_chrome;main top chrome
mo:ExplorerWindow.math_learning_action;Mathematik-Arbeitsfläche …
mo:ExplorerWindow.math_numbers_wall_1000_action;Zahlenmauer bis 1000
mo:ExplorerWindow.math_numbers_wall_100_action;Zahlenmauer bis 100
mo:ExplorerWindow.new_amiga_project_action;Projekt: Amiga 500 ADF ...
mo:ExplorerWindow.new_assembler_action;Assembler-Programm
mo:ExplorerWindow.new_basic_action;BASIC-Programm
